Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
,14878.954,NA,NA,18323.886,13968.567,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14882.598,NA,NA,18328.641,13971.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14886.346,NA,NA,18333.34,13974.408,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14890.358,NA,NA,18338.093,13977.371,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14893.881,NA,NA,18342.834,13980.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14897.781,NA,NA,18347.927,13983.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14901.289,NA,NA,18352.882,13986.261,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14905.071,NA,NA,18358.21,13989.627,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14909.118,NA,NA,18363.694,13992.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14913.383,NA,NA,18368.814,13995.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14917.571,NA,NA,18373.24,13998.862,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14921.505,NA,NA,18378.393,14001.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14925.145,NA,NA,18383.782,14004.968,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14929.342,NA,NA,18388.604,14008.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14933.406,NA,NA,18393.596,14011.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14937.453,NA,NA,18398.594,14014.828,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14941.229,NA,NA,18403.373,14018.194,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14945.318,NA,NA,18408.132,14021.277,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14949.166,NA,NA,18413.273,14024.099,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14953.391,NA,NA,18418.716,14026.893,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14957.085,NA,NA,18423.019,14029.801,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14957.586,NA,NA,18423.692,14030.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14961.703,NA,NA,18428.089,14032.939,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14965.643,NA,NA,18433.298,14035.637,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14969.368,NA,NA,18438.263,14038.411,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14973.086,NA,NA,18443.353,14041.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14977.389,NA,NA,18449.092,14044.637,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14981.169,NA,NA,18454.14,14047.966,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14985.502,NA,NA,18459.186,14050.682,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14988.924,NA,NA,18464.404,14054.017,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14992.943,NA,NA,18469.46,14057.484,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14996.397,NA,NA,18474.584,14060.371,NA,NA,NA,NA,NA,NA,NA,NA,NA
,14999.732,NA,NA,18479.754,14063.272,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15003.414,NA,NA,18484.83,14065.949,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15007.278,NA,NA,18489.624,14069.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15009.106,NA,NA,18492,14070.466,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15011.221,NA,NA,NA,14071.963,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15015.188,NA,NA,NA,14075.217,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15019.216,NA,NA,NA,14078.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15023.233,NA,NA,NA,14080.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15026.685,NA,NA,NA,14083.556,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15030.951,NA,NA,NA,14086.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15034.631,NA,NA,NA,14089.239,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15038.436,NA,NA,NA,14092.098,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15042.224,NA,NA,NA,14094.739,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15046.477,NA,NA,NA,14097.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15050.002,NA,NA,NA,14100.779,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15053.843,NA,NA,NA,14104.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15057.83,NA,NA,NA,14106.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15061.688,NA,NA,NA,14109.437,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15065.834,NA,NA,NA,14112.711,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15070.013,NA,NA,NA,14115.479,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15073.538,NA,NA,NA,14118.459,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15077.39,NA,NA,NA,14121.929,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15081.145,NA,NA,NA,14125.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15084.969,NA,NA,NA,14128.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15089.214,NA,NA,NA,14130.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15092.938,NA,NA,NA,14133.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15097.235,NA,NA,NA,14137.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15101.096,NA,NA,NA,14140.112,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15104.815,NA,NA,NA,14143.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15108.338,NA,NA,NA,14146.106,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15112.23,NA,NA,NA,14149.122,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15116.495,NA,NA,NA,14152.269,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15120.354,NA,NA,NA,14154.908,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15124.359,NA,NA,NA,14158.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15128.097,NA,NA,NA,14161.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15131.857,NA,NA,NA,14163.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15135.489,NA,NA,NA,14167.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15139.587,NA,NA,NA,14170.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15143.676,NA,NA,NA,14173.602,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15147.03,NA,NA,NA,14176.381,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15150.526,NA,NA,NA,14179.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15154.351,NA,NA,NA,14182.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15158.259,NA,NA,NA,14184.944,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15160.372,NA,NA,NA,14186.786,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15161.833,NA,NA,NA,14188.208,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15165.627,NA,NA,NA,14191.202,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15169.419,NA,NA,NA,14194.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15173.292,NA,NA,NA,14197.425,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15176.664,NA,NA,NA,14200.026,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15180.626,NA,NA,NA,14202.621,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15184.587,NA,NA,NA,14205.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15188.396,NA,NA,NA,14208.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15191.889,NA,NA,NA,14211.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15195.554,NA,NA,NA,14214.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15199.87,NA,NA,NA,14217.597,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15201.464,NA,NA,NA,14218.757,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15203.511,NA,NA,NA,14220.399,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15207.799,NA,NA,NA,14223.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15211.706,NA,NA,NA,14225.783,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15215.452,NA,NA,NA,14228.682,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15219.587,NA,NA,NA,14231.621,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15223.794,NA,NA,NA,14234.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15227.447,NA,NA,NA,14237.493,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15231.332,NA,NA,NA,14240.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15235.254,NA,NA,NA,14243.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15239.666,NA,NA,NA,14246.574,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15243.082,NA,NA,NA,14249.329,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15247.313,NA,NA,NA,14252.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15251.07,NA,NA,NA,14255.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15255.009,NA,NA,NA,14258.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15258.753,NA,NA,NA,14260.738,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15262.79,NA,NA,NA,14263.549,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15266.521,NA,NA,NA,14266.549,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15270.074,NA,NA,NA,14269.238,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15273.548,NA,NA,NA,14271.867,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15277.547,NA,NA,NA,14274.427,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15281.407,NA,NA,NA,14277.458,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15285.415,NA,NA,NA,14280.436,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15289.222,NA,NA,NA,14283.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15293.078,NA,NA,NA,14286.684,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15296.963,NA,NA,NA,14289.876,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15300.686,NA,NA,NA,14292.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15304.337,NA,NA,NA,14296.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15308.14,NA,NA,NA,14299.268,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15312.781,NA,NA,NA,14301.936,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15316.286,NA,NA,NA,14304.736,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15320.377,NA,NA,NA,14307.478,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15324.292,NA,NA,NA,14310.669,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15328.253,NA,NA,NA,14313.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15332.411,NA,NA,NA,14316.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15336.238,NA,NA,NA,14319.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15339.278,NA,NA,NA,14321.931,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15343.325,NA,NA,NA,14324.657,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15347.304,NA,NA,NA,14327.377,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15350.931,NA,NA,NA,14330.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15354.995,NA,NA,NA,14333.536,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15358.719,NA,NA,NA,14336.374,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15362.375,NA,NA,NA,14339.082,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15366.375,NA,NA,NA,14342.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15369.909,NA,NA,NA,14344.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15373.492,NA,NA,NA,14347.886,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15377.191,NA,NA,NA,14350.527,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15380.677,NA,NA,NA,14353.681,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15384.354,NA,NA,NA,14356.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15388.144,NA,NA,NA,14359.866,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15391.792,NA,NA,NA,14362.992,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15395.527,NA,NA,NA,14365.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15399.386,NA,NA,NA,14368.547,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15403.451,NA,NA,NA,14371.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15406.953,NA,NA,NA,14374.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15410.895,NA,NA,NA,14377.448,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15415.214,NA,NA,NA,14379.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15419.094,NA,NA,NA,14383.163,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15422.466,NA,NA,NA,14386.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15422.918,NA,NA,NA,14386.312,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15423.226,NA,NA,NA,14386.623,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15426.629,NA,NA,NA,14389.102,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15430.202,NA,NA,NA,14391.779,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15434.158,NA,NA,NA,14394.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15438.238,NA,NA,NA,14397.706,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15442.513,NA,NA,NA,14400.598,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15446.316,NA,NA,NA,14403.295,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15450.161,NA,NA,NA,14406.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15453.945,NA,NA,NA,14409.668,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15457.731,NA,NA,NA,14412.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15461.314,NA,NA,NA,14415.558,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15464.742,NA,NA,NA,14418.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15468.509,NA,NA,NA,14421.463,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15472.177,NA,NA,NA,14424.723,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15475.839,NA,NA,NA,14427.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15479.321,NA,NA,NA,14430.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15483.367,NA,NA,NA,14433.401,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15487.037,NA,NA,NA,14436.146,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15491.112,NA,NA,NA,14439.238,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15494.771,NA,NA,NA,14442.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15498.967,NA,NA,NA,14445.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15502.594,NA,NA,NA,14448.507,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15506.873,NA,NA,NA,14451.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15510.673,NA,NA,NA,14454.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15514.702,NA,NA,NA,14456.822,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15518.518,NA,NA,NA,14459.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15522.437,NA,NA,NA,14462.534,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15526.321,NA,NA,NA,14465.796,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15530.278,NA,NA,NA,14468.316,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15533.968,NA,NA,NA,14471.261,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15537.652,NA,NA,NA,14474.561,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15541.55,NA,NA,NA,14477.542,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15545.41,NA,NA,NA,14480.357,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15549.232,NA,NA,NA,14483.233,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15553.299,NA,NA,NA,14486.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15557.445,NA,NA,NA,14489.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15561.115,NA,NA,NA,14492.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15564.31,NA,NA,NA,14495.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15567.963,NA,NA,NA,14497.999,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15571.707,NA,NA,NA,14501.201,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15575.533,NA,NA,NA,14504.494,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15579.008,NA,NA,NA,14507.306,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15583.244,NA,NA,NA,14510.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15587.218,NA,NA,NA,14512.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15591.005,NA,NA,NA,14515.591,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15595.244,NA,NA,NA,14518.442,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15598.993,NA,NA,NA,14521.516,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15602.726,NA,NA,NA,14524.087,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15606.63,NA,NA,NA,14527.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15610.655,NA,NA,NA,14529.956,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15614.287,NA,NA,NA,14532.925,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15617.868,NA,NA,NA,14535.618,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15621.762,NA,NA,NA,14538.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15625.666,NA,NA,NA,14541.698,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15629.683,NA,NA,NA,14544.664,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15633.389,NA,NA,NA,14547.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15637.549,NA,NA,NA,14549.974,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15641.463,NA,NA,NA,14552.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15645.115,NA,NA,NA,14555.631,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15649.084,NA,NA,NA,14558.442,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15653.284,NA,NA,NA,14561.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15656.631,NA,NA,NA,14564.082,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15660.238,NA,NA,NA,14567.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15664.039,NA,NA,NA,14569.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15668.126,NA,NA,NA,14572.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15671.673,NA,NA,NA,14575.691,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15674.988,NA,NA,NA,14577.959,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15675.299,NA,NA,NA,14578.139,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15678.994,NA,NA,NA,14581.264,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15683.299,NA,NA,NA,14584.218,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15686.691,NA,NA,NA,14587.332,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15690.363,NA,NA,NA,14590.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15693.896,NA,NA,NA,14593.421,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15697.515,NA,NA,NA,14596.281,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15701.311,NA,NA,NA,14599.194,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15705.416,NA,NA,NA,14602.158,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15709.347,NA,NA,NA,14605.286,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15713.218,NA,NA,NA,14608.132,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15717.106,NA,NA,NA,14610.941,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15720.898,NA,NA,NA,14613.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15724.942,NA,NA,NA,14616.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15728.753,NA,NA,NA,14618.872,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15732.297,NA,NA,NA,14621.423,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15736.616,NA,NA,NA,14624.295,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15740.513,NA,NA,NA,14627.346,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15744.129,NA,NA,NA,14630.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15747.869,NA,NA,NA,14632.886,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15751.633,NA,NA,NA,14635.921,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15755.357,NA,NA,NA,14638.903,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15758.982,NA,NA,NA,14641.938,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15762.496,NA,NA,NA,14644.594,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15766.284,NA,NA,NA,14647.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15770.226,NA,NA,NA,14650.229,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15774.192,NA,NA,NA,14653.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15777.616,NA,NA,NA,14655.764,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15780.963,NA,NA,NA,14658.568,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15784.294,NA,NA,NA,14661.397,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15788.189,NA,NA,NA,14664.122,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15791.802,NA,NA,NA,14667.382,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15795.773,NA,NA,NA,14670.473,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15799.62,NA,NA,NA,14673.648,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15803.474,NA,NA,NA,14676.319,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15807.299,NA,NA,NA,14679.208,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15811.224,NA,NA,NA,14682.172,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15814.523,NA,NA,NA,14685.117,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15818.943,NA,NA,NA,14687.792,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15822.732,NA,NA,NA,14690.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15826.056,NA,NA,NA,14693.398,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15829.792,NA,NA,NA,14696.434,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15833.97,NA,NA,NA,14699.224,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15836.934,NA,NA,NA,14701.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15837.788,NA,NA,NA,14701.978,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15841.82,NA,NA,NA,14705.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15845.859,NA,NA,NA,14708.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15849.706,NA,NA,NA,14711.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15853.352,NA,NA,NA,14714.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15856.798,NA,NA,NA,14717.313,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15860.77,NA,NA,NA,14720.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15864.409,NA,NA,NA,14723.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15868.122,NA,NA,NA,14726.289,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15871.866,NA,NA,NA,14729.536,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15875.374,NA,NA,NA,14732.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15879.033,NA,NA,NA,14736.044,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15883.195,NA,NA,NA,14739.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15886.89,NA,NA,NA,14741.638,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15890.792,NA,NA,NA,14744.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15894.737,NA,NA,NA,14747.452,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15899.218,NA,NA,NA,14750.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15903.087,NA,NA,NA,14753.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15907.08,NA,NA,NA,14756.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15911.103,NA,NA,NA,14758.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15914.837,NA,NA,NA,14761.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15918.259,NA,NA,NA,14764.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15921.72,NA,NA,NA,14767.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15925.248,NA,NA,NA,14770.279,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15928.716,NA,NA,NA,14772.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15932.268,NA,NA,NA,14775.626,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15935.761,NA,NA,NA,14778.286,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15939.691,NA,NA,NA,14780.916,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15943.261,NA,NA,NA,14783.817,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15947.288,NA,NA,NA,14786.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15950.798,NA,NA,NA,14789.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15954.266,NA,NA,NA,14792.159,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15958.175,NA,NA,NA,14795.169,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15961.98,NA,NA,NA,14798.436,NA,NA,NA,NA,NA,NA,NA,NA,NA
,15965.479,NA,NA,NA,14801.399,NA,NA,NA,NA,NA,NA,NA,NA,NA
