Genus,depth,Percent_Abundance,guild
Desulfococcus_AC2,12.5,NA,1
Sva0081_sediment_group_AC1,12.5,0.256849315,1
Sva0081_sediment_group_AC2,12.5,NA,1
Arcobacter_AC1,12.5,0,4
Arcobacter_AC2,12.5,NA,4
Cocleimonas_AC1,12.5,0.042808219,4
Cocleimonas_AC2,12.5,NA,4
Thiobacillus_AC1,12.5,0.064212329,4
Thiobacillus_AC2,12.5,NA,4
Sulfurimonas_AC1,12.5,0.032106164,4
Sulfurimonas_AC2,12.5,NA,4
Sulfurovum_AC1,12.5,0.032106164,4
Sulfurovum_AC2,12.5,NA,4
Mariprofundus_AC1,12.5,0.02140411,5
Mariprofundus_AC2,12.5,NA,5
Deferrisoma_AC1,12.5,0.181934932,3
Deferrisoma_AC2,12.5,NA,3
Geobacter_AC1,12.5,0.042808219,3
Geobacter_AC2,12.5,NA,3
Geothermobacter_AC1,12.5,0.02140411,3
Geothermobacter_AC2,12.5,NA,3
Geopsychrobacter_AC1,12.5,0.010702055,3
Geopsychrobacter_AC2,12.5,NA,3
Sva1033_unclassified_AC1,12.5,1.476883562,2
Sva1033_unclassified_AC2,12.5,NA,2
Desulfuromusa_AC1,12.5,0.042808219,3
Desulfuromusa_AC2,12.5,NA,3
SEEP-SRB1_AC1,12.5,0.085616438,1
SEEP-SRB1_AC2,12.5,NA,1
Desulfobacula_AC1,12.5,0.171232877,1
Desulfobacula_AC2,12.5,NA,1
Desulfosarcina_AC1,12.5,0.02140411,1
Desulfosarcina_AC2,12.5,NA,1
Gallionella_AC1,12.5,0,5
Gallionella_AC2,12.5,NA,5
Fe/SO42-,13.5,2.938956844,-9
SRB,13.5,1.223403293,-10
FeRB,13.5,0.979335434,-8
SOB,13.5,0.80196759,-7
FeOB,13.5,0.201121381,-6
Desulfobulbus_AC1,13.5,0.768142308,2
Desulfobulbus_AC2,13.5,0.917125229,2
Desulfococcus_AC1,13.5,0.060642814,1
Desulfococcus_AC2,13.5,0.100050025,1
Sva0081_sediment_group_AC1,13.5,0.202142713,1
Sva0081_sediment_group_AC2,13.5,0.266800067,1
Arcobacter_AC1,13.5,0.080857085,4
Arcobacter_AC2,13.5,0.016675004,4
Cocleimonas_AC1,13.5,0.020214271,4
Cocleimonas_AC2,13.5,0.050025013,4
Thiobacillus_AC1,13.5,0.060642814,4
Thiobacillus_AC2,13.5,0.083375021,4
Sulfurimonas_AC1,13.5,0.303214069,4
Sulfurimonas_AC2,13.5,0.150075038,4
Sulfurovum_AC1,13.5,0.020214271,4
Sulfurovum_AC2,13.5,0.016675004,4
Mariprofundus_AC1,13.5,0.080857085,5
Mariprofundus_AC2,13.5,0.066700017,5
Deferrisoma_AC1,13.5,0.303214069,3
Deferrisoma_AC2,13.5,0.150075038,3
Geobacter_AC1,13.5,0.080857085,3
Geobacter_AC2,13.5,0.100050025,3
Geothermobacter_AC1,13.5,0.060642814,3
Geothermobacter_AC2,13.5,0.050025013,3
Geopsychrobacter_AC1,13.5,0.020214271,3
Geopsychrobacter_AC2,13.5,0.050025013,3
Sva1033_unclassified_AC1,13.5,0.303214069,2
Sva1033_unclassified_AC2,13.5,0.950475238,2
Desulfuromusa_AC1,13.5,0.080857085,3
Desulfuromusa_AC2,13.5,0.083375021,3
SEEP-SRB1_AC1,13.5,0.141499899,1
SEEP-SRB1_AC2,13.5,0.083375021,1
