Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AB,AB.2,8.5,B,Bacteria,4.97E+08,3.22E+08,-26.97,12.26,1.3904
AB,AB.2,9.5,B,Bacteria,1.06E+09,1.30E+09,-26.97,13.52,1.4943
AB,AB.2,10.5,B,Bacteria,1.68E+09,1.12E+09,-25.01,12.7,1.5119
AB,AB.2,12.5,B,Bacteria,9.29E+08,2.33E+09,-25.01,12.7,1.3901
AB,AB.2,13.5,B,Bacteria,2.98E+09,2.22E+09,-24.78,13.22,1.356
AB,AB.2,14.5,B,Bacteria,3.63E+08,2.93E+08,-25.5,12.46,
AB,AB.2,16.5,B,Bacteria,9.26E+07,2.00E+08,-24.76,13.35,1.4823
AB,AB.2,17.5,B,Bacteria,1.04E+09,1.15E+09,-25.62,12.9,1.3773
AB,AB.2,18.5,B,Bacteria,1.55E+08,1.05E+08,-25.86,13.04,
AB,AB.2,0.5,B,Archaea,3.38E+07,3.06E+07,,,1.4333
AB,AB.2,1.5,B,Archaea,2.58E+07,2.17E+07,,12.04,1.49
AB,AB.2,2.5,B,Archaea,2.26E+06,2.33E+06,,,1.4188
AB,AB.2,3.5,B,Archaea,8.34E+05,9.55E+05,-24.74,12.73,1.527
AB,AB.2,4.5,B,Archaea,3.91E+06,4.21E+06,-25.26,12.53,1.37
AB,AB.2,5.5,B,Archaea,,2.19E+06,-24.19,9.15,1.4278
AB,AB.2,6.5,B,Archaea,1.34E+05,1.61E+05,-24.33,13.66,1.4526
AB,AB.2,7.5,B,Archaea,3.10E+05,1.79E+06,-24.89,12.55,1.5514
AB,AB.2,8.5,B,Archaea,,,-26.97,12.26,1.3904
AB,AB.2,9.5,B,Archaea,,3.80E+05,-26.97,13.52,1.4943
AB,AB.2,10.5,B,Archaea,,4.46E+05,-25.01,12.7,1.5119
AB,AB.2,12.5,B,Archaea,2.69E+05,1.65E+05,-25.01,12.7,1.3901
AB,AB.2,13.5,B,Archaea,,1.07E+06,-24.78,13.22,1.356
AB,AB.2,14.5,B,Archaea,,3.94E+05,-25.5,12.46,
AB,AB.2,16.5,B,Archaea,,,-24.76,13.35,1.4823
AB,AB.2,17.5,B,Archaea,1.14E+06,2.70E+06,-25.62,12.9,1.3773
AB,AB.2,18.5,B,Archaea,,7.42E+04,-25.86,13.04,
AB,AB.1,0.5,A,Bacteria,1.66E+09,9.65E+08,,,1.4333
AB,AB.1,1.5,A,Bacteria,4.52E+09,4.39E+09,,12.04,1.49
AB,AB.1,2.5,A,Bacteria,7.01E+09,9.39E+09,,,1.4188
AB,AB.1,3.5,A,Bacteria,2.21E+10,3.17E+10,-24.74,12.73,1.527
AB,AB.1,4.5,A,Bacteria,8.27E+10,6.95E+10,-25.26,12.53,1.37
AB,AB.1,5.5,A,Bacteria,,2.90E+10,-24.19,9.15,1.4278
AB,AB.1,6.5,A,Bacteria,1.55E+10,1.78E+10,-24.33,13.66,1.4526
AB,AB.1,7.5,A,Bacteria,3.38E+10,3.38E+10,-24.89,12.55,1.5514
AB,AB.1,8.5,A,Bacteria,,2.45E+10,-26.97,12.26,1.3904
AB,AB.1,9.5,A,Bacteria,3.28E+10,3.05E+10,-26.97,13.52,1.4943
AB,AB.1,10.5,A,Bacteria,1.85E+10,1.57E+10,,,1.5119
AB,AB.1,11.5,A,Bacteria,1.04E+10,1.01E+10,-25.01,12.7,
AB,AB.1,12.5,A,Bacteria,2.12E+10,1.40E+10,-25.01,12.7,1.3901
AB,AB.1,13.5,A,Bacteria,2.06E+10,1.97E+10,-24.78,13.22,1.356
